#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Газоснабжение
1	ул. Советская, д. 200, Шебалино	1966	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
117	ул. Социалистическая, д. 1, Майма	1963	Нет	252.00	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
118	ул. Березовая роща, д. 9, к. 3, Майма	2011	Нет	D	3	5	2 723.20	156.90	Многоквартирный дом	Центральное	Отсутствует	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	550.40	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
119	ул. Юбилейная, д. 3, Майма	1964	Нет	265.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
120	ул. Социалистическая, д. 4, Майма	1964	Нет	301.90	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия	Фундамент
121	ул. Социалистическая, д. 6, Майма	1965	Нет	8	Не присвоен	2	2	2	385.20	0.00	0.00	0.00	0.00	МКД	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Смешанные	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
122	ул. Социалистическая, д. 7, Майма	1963	Нет	8	Не присвоен	2	2	2	372.00	40.80	0.00	0.00	0.00	МКД	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Отсутствует	Смешанные	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Мусоропровод	Перекрытия	Фундамент
123	ул. Социалистическая, д. 9, Майма	1970	Не имеется	Нет	11	Не присвоен	3	2	2	1	485.40	64.30	0.00	0.00	МКД	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Отсутствует	Смешанные	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
124	ул. Трудовая, д. 49, Майма	1988	Нет	1	2	321.00	30.60	МКД	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
125	ул. Трудовая, д. 56, Майма	1975	Нет	124.90	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
126	ул. Энергетиков, д. 1, Майма	1978	Не имеется	Нет	12	Не присвоен	2	2	1	652.00	30.60	30.60	0.00	0.00	мкд	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	428.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
127	ул. Энергетиков, д. 7, Майма	1979	Нет	166.00	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
128	ул. Энергетиков, д. 13, Майма	1986	Не имеется	Нет	24	4	2	1	1 168.80	118.80	118.80	0.00	0.00	МКД	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	812.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
129	ул. Юбилейная, д. 4, Майма	1975	Не имеется	Нет	24	2	3	1	1 050.40	88.60	88.60	0.00	0.00	МКД	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
130	ул. Юбилейная, д. 5, Майма	1970	Не имеется	Нет	16	2	2	1	736.80	58.40	58.40	0.00	0.00	МКД	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
131	ул. Юбилейная, д. 6, Майма	1971	Не имеется	Нет	16	2	2	1	754.10	53.20	53.20	0.00	0.00	МКД	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
132	ул. Юбилейная, д. 7, Майма	1977	Не имеется	Нет	24	2	3	1	1 105.10	83.80	83.80	0.00	0.00	МКД	Не имеется	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
133	ул. Юбилейная, д. 8, Майма	1971	Не имеется	Нет	16	2	2	1	764.50	61.50	61.50	0.00	0.00	МКД	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
134	ул. Юбилейная, д. 10, Майма	1985	Есть	Нет	16	Не присвоен	2	2	1	1	729.70	60.60	60.90	0.00	0.00	МКД	Есть	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Отсутствует	Железобетонные	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Мусоропровод	Перекрытия	Фундамент
135	ул. Юбилейная, д. 12, Майма	1979	Не имеется	Нет	12	Не присвоен	2	2	1	623.20	331.20	331.20	0.00	0.00	МКД	Не имеется	Многоквартирный дом	1	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Блочные	0.00	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
136	ул. Центральная, д. 60, Аюла	1984	Нет	1	175.20	75.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
137	ул. Центральная, д. 24, Аюла	1978	Нет	1	99.10	42.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
138	ул. Зеленая Роща, д. 10, Чемал	1972	Нет	1	104.50	45.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
139	ул. Алтайская, д. 9, Чемал	1975	Нет	1	80.80	33.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
140	ул. Бешпекская, д. 7, Чемал	1980	Нет	1	132.10	57.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
141	ул. Зеленая Роща, д. 4, Чемал	1955	Нет	1	75.10	31.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
142	ул. Катунская, д. 10, Чемал	1970	Нет	1	98.60	41.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
143	ул. Катунская, д. 35, Чемал	1987	Нет	1	155.20	65.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
144	ул. Советская, д. 20, Чемал	1984	Нет	1	218.10	94.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
145	ул. Советская, д. 22, Чемал	1982	Нет	1	138.30	59.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
146	ул. Советская, д. 28, Чемал	1963	Нет	1	69.90	28.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
147	ул. Советская, д. 31, Чемал	1972	Нет	1	112.20	48.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
148	пер. Советский, д. 4, Чемал	1968	Нет	1	85.70	35.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
149	пер. Советский, д. 17А, Чемал	1979	Нет	1	142.20	60.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
150	пер. Советский, д. 17 Б, Чемал	1979	Нет	1	133.70	56.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
151	ул. Пчелкина, д. 2, Чемал	1989	Нет	1	171.30	72.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
152	ул. Пчелкина, д. 18, Чемал	1960	Нет	1	117.30	49.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
153	ул. Пчелкина, д. 20, Чемал	1957	Нет	1	83.00	34.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
154	ул. Пчелкина, д. 31, Чемал	1961	Нет	1	131.60	54.40	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
155	ул. Пчелкина, д. 95, Чемал	1982	Нет	1	163.00	69.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
156	ул. Дворникова, д. 41, Чемал	1986	Нет	1	153.10	65.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
157	ул. Дворникова, д. 26, Чемал	1982	Нет	1	105.30	44.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
158	ул. Дворникова, д. 28, Чемал	1982	Нет	1	119.20	50.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
159	ул. Дворникова, д. 37, Чемал	1954	Нет	1	122.30	52.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
160	ул. Дворникова, д. 39, Чемал	1981	Нет	1	88.00	37.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
161	ул. Новая, д. 1, Чемал	1976	Нет	1	108.00	46.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
162	ул. Новая, д. 3, Чемал	1974	Нет	1	120.90	50.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
163	ул. Новая, д. 9, Чемал	1979	Нет	1	179.00	77.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
164	ул. Новая, д. 13, Чемал	1975	Нет	1	149.10	63.90	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
165	ул. Новая, д. 19, Чемал	1970	Нет	1	131.30	56.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
166	ул. Партизанская, д. 19, Чемал	1960	Нет	1	101.90	42.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
167	ул. Партизанская, д. 20, Чемал	1960	Нет	1	83.30	34.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
168	ул. Партизанская, д. 21, Чемал	1964	Нет	1	60.00	26.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
169	ул. Подгорная, д. 16, Чемал	1974	Нет	1	108.50	45.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
170	ул. Подгорная, д. 21, Чемал	1972	Нет	1	47.50	19.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
171	ул. Подгорная, д. 22, Чемал	1968	Нет	1	113.00	48.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
172	ул. Подгорная, д. 23, Чемал	1974	Нет	1	100.90	41.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
173	ул. Подгорная, д. 29, Чемал	1975	Нет	1	100.90	41.10	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
174	ул. Калинина, д. 9, Чемал	1957	Нет	1	71.00	30.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
175	ул. Курортная, д. 16, Чемал	1986	Нет	1	64.00	27.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
176	ул. Садовая, д. 20, Чемал	1961	Нет	1	46.10	20.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
177	ул. Садовая, д. 32, Чемал	1982	Нет	1	117.00	49.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
178	ул. Уожанская, д. 10, Чемал	1980	Нет	1	125.20	53.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Газоснабжение
179	ул. Уожанская, д. 15, Чемал	1980	Нет	1	117.00	50.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
180	ул. Пчелкина, д. 13, Чемал	1960	Нет	1	2	263.50	112.50	Отсутствует	Автономное	Отсутствует	Печное	Отсутствует	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
181	ул. Пчелкина, д. 3, Чемал	1960	Нет	1	2	263.50	112.50	Отсутствует	Отсутствует	Отсутствует	Печное	Отсутствует	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
