#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. К.Хетагурова, д. 89, Алагир	1959	Нет	561.60
836	пр-кт. Коста, д. 245, Владикавказ	1964	Нет	B	3	5	1 659.90	332.00	2 870.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	578.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
837	пр-кт. Коста, д. 247, Владикавказ	1964	Нет	B	3	5	1 680.70	275.00	2 244.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	578.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2
838	пр-кт. Коста, д. 249, Владикавказ	1964	Нет	3	5	1 682.30
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
839	пр-кт. Коста, д. 251, Владикавказ	1964	Нет	B	3	5	1 682.40	255.00	1 662.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	574.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
840	пр-кт. Коста, д. 253, Владикавказ	1964	Нет	B	3	5	1 650.50	255.00	1 512.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Панельные	574.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
841	ул. Краснодонская, д. 10, Владикавказ	1971	Нет	B	4	5	1 855.00	275.00	2 765.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	744.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
842	ул. Краснодонская, д. 18, Владикавказ	1973	Нет	B	3	5	1 599.40	245.00	1 446.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	548.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
843	ул. Зои Космодемьянской, д. 8, Владикавказ	1964	Нет	B	3	5	1 666.80	245.00	1 904.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	576.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
844	ул. Зои Космодемьянской, д. 10, Владикавказ	1964	Нет	B	3	5	1 685.50	278.00	1 446.00	индивидуальный проект жилого дома	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Панельные	578.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
845	ул. Зои Космодемьянской, д. 12, Владикавказ	1964	Не имеется	Нет	-	55	B	3	5	5	1 685.50	225.00	0.00	1 992.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Панельные	578.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
846	пр-кт. Доватора, д. 244, Владикавказ	1975	Не имеется	Нет	-	144	B	4	4	пассажирские - 4, 	9	9	4 619.90	22.60	0.00	4 600.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	4	Панельные	1 259.00	Плоская	На лестничной клетке	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
847	пр-кт. Доватора, д. 248, Владикавказ	1975	Не имеется	Нет	-	144	B	4	4	пассажирские - 4, 	9	9	4 619.90	25.60	0.00	5 202.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	4	Панельные	1 259.00	Плоская	На лестничной клетке	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
848	пр-кт. Доватора, д. 250, к. 2, Владикавказ	1974	Не имеется	Нет	-	56	B	4	5	5	1 796.20	128.90	0.00	2 808.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	760.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
849	пр-кт. Доватора, д. 250, к. 3, Владикавказ	1974	Не имеется	Нет	-	83	B	6	5	5	2 555.70	236.00	0.00	7 008.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Панельные	1 617.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
850	г. Владикавказ, ул. Любови Шевцовой, д. 45	1973	Не имеется	Нет	-	55	B	3	5	5	1 602.80	215.00	0.00	1 854.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Панельные	576.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
851	ул. Щорса, д. 201, к. 2, Владикавказ	1975	Не имеется	Нет	-	90	B	6	5	5	2 678.20	200.00	0.00	5 263.00	0.00	индивидуальный проект жилого дома	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Панельные	1 074.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
852	ул. Куйбышева, д. 120, к. 1, Владикавказ	1992	Не имеется	Нет	-	40	E	2	5	5	1 377.80	0.00	972.80	2 019.30	115.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	560.70	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
853	ул. Куйбышева, д. 120, к. 2, Владикавказ	1992	Не имеется	Нет	-	40	E	2	5	5	1 381.80	0.00	975.40	2 021.40	69.90	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	562.80	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
854	ул. Куйбышева, д. 120, к. 3, Владикавказ	1992	Не имеется	Нет	-	40	E	2	5	5	1 391.10	0.00	979.20	2 022.50	115.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	563.90	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
855	ул. Куйбышева, д. 120, к. 4, Владикавказ	1992	Не имеется	Нет	-	40	E	2	5	5	1 391.10	0.00	978.10	2 024.10	262.20	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	565.50	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
856	ул. Куйбышева, д. 120, к. 5, Владикавказ	1992	Есть	Нет	-	40	E	2	5	5	1 323.60	0.00	1 012.60	2 027.70	69.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	569.10	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
857	ул. Куйбышева, д. 120, к. 6, Владикавказ	1992	Есть	Нет	-	40	E	2	5	5	1 324.90	0.00	1 023.90	2 010.50	321.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	551.90	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
858	ул. Куйбышева, д. 122, Владикавказ	1992	Не имеется	Нет	-	40	E	2	5	5	1 389.70	0.00	985.60	2 021.80	0.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	563.20	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
859	ул. Куйбышева, д. 124, к. 1, Владикавказ	1992	Есть	Нет	-	40	E	2	5	5	1 389.70	0.00	984.50	2 022.00	0.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	563.40	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
860	ул. Куйбышева, д. 124, к. 2, Владикавказ	1992	Есть	Нет	-	40	E	2	5	5	1 383.90	0.00	986.70	1 983.50	115.00	Жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	нет	2	Монолитные	524.90	Скатная	На лестничной клетке	Железобетонные	Оштукатуренный	Сплошной	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное
